hex_id,collision_date,collision_year,collision_month,collision_dayofweek,collision_hour,accident_count,ttv_split,node_street_count,node_stop,node_traffic_signals,la_data_city_name,edge_speed_kph_max,edge_speek_kph_min,edge_lanes_max,edge_motorway_flag,edge_motorway_link_flag,edge_living_street_flag,edge_bridge_flag,edge_oneway_flag,edge_tunnel_flag,amenities_bar_cnt,amenities_school_cnt,amenities_restaurant_cnt,amenities_college_cnt,prev1_yr_coll_cnt,prev2_yr_coll_cnt,prev1_yr_coll_neighbor1,prev1_yr_coll_neighbor2,prev2_yr_coll_neighbor1,prev2_yr_coll_neighbor2,noaa_wind_speed,noaa_precipitation,noaa_temperature_average,noaa_temperature_max,noaa_temperature_min,drv_collision_hour_sin,drv_collision_hour_cos,drv_holiday_flag,drv_edge_lanes_max_imputed_flag
8829124903fffff,2018-07-14,2018,7,5,14,1,Test,0.0,0.0,0.0,Unincorporated,49.4,49.4,5.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,4.0,3.0,5.0,8.72,0.0,72,78.0,68.0,-0.6310879443260528,-0.7757112907044198,0,1
8829124909fffff,2014-07-06,2014,7,6,17,1,Validate,3.0,0.0,0.0,Unincorporated,72.4,38.5,2.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.61,0.0,73,80.0,68.0,-0.9976687691905393,-0.06824241336467046,0,0
8829124909fffff,2016-05-21,2016,5,5,12,1,Train,3.0,0.0,0.0,Unincorporated,72.4,38.5,2.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,2.0,6.0,10.51,0.0,60,66.0,56.0,-0.1361666490962464,-0.9906859460363308,0,0
8829124909fffff,2018-04-21,2018,4,5,20,1,Validate,3.0,0.0,0.0,Unincorporated,72.4,38.5,2.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,5.0,3.0,3.0,7.83,0.0,62,76.0,53.0,-0.730835964278124,0.6825531432186541,0,0
8829124909fffff,2018-08-03,2018,8,4,12,1,Train,3.0,0.0,0.0,Unincorporated,72.4,38.5,2.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,5.0,3.0,3.0,7.61,0.0,74,79.0,69.0,-0.1361666490962464,-0.9906859460363308,0,0
8829124909fffff,2019-02-09,2019,2,5,23,1,Test,3.0,0.0,0.0,Unincorporated,72.4,38.5,2.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,4.0,2.0,5.0,7.38,0.23,52,58.0,46.0,-2.4492935982947064e-16,1.0,0,0
8829124909fffff,2019-03-17,2019,3,6,19,1,Train,3.0,0.0,0.0,Unincorporated,72.4,38.5,2.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,4.0,2.0,5.0,7.38,0.0,66,81.0,56.0,-0.8878852184023756,0.4600650377311516,0,0
882912490bfffff,2016-10-05,2016,10,2,15,1,Validate,3.0,0.0,0.0,Unincorporated,49.4,40.6,5.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,4.0,4.0,6.49,0.0,65,73.0,59.0,-0.816969893010442,-0.5766803221148672,0,1
882912490bfffff,2017-01-29,2017,1,6,11,1,Train,3.0,0.0,0.0,Unincorporated,49.4,40.6,5.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,4.0,1.0,2.0,3.8,0.0,59,76.0,46.0,0.1361666490962471,-0.9906859460363306,0,1
882912490bfffff,2020-06-21,2020,6,6,16,1,Train,3.0,0.0,0.0,Unincorporated,49.4,40.6,5.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,3.0,4.0,7.61,0.0,66,72.0,63.0,-0.9422609221188204,-0.3348796121709864,0,1
882912491dfffff,2014-08-14,2014,8,3,17,1,Train,0.0,0.0,0.0,Unincorporated,49.4,49.4,5.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.61,0.0,69,76.0,65.0,-0.9976687691905393,-0.06824241336467046,0,1
882912491dfffff,2014-10-19,2014,10,6,14,1,Train,0.0,0.0,0.0,Unincorporated,49.4,49.4,5.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.16,0.0,67,73.0,60.0,-0.6310879443260528,-0.7757112907044198,0,1
8829124921fffff,2018-07-01,2018,7,6,18,1,Train,0.0,0.0,0.0,Unincorporated,49.4,49.4,2.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,2.0,4.0,9.4,0.0,68,73.0,65.0,-0.979084087682323,0.2034560130526333,0,0
8829124923fffff,2014-06-02,2014,6,0,14,1,Train,0.0,0.0,0.0,Unincorporated,59.0,59.0,2.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.17,0.0,64,69.0,60.0,-0.6310879443260528,-0.7757112907044198,0,0
8829124923fffff,2017-10-20,2017,10,4,6,1,Test,0.0,0.0,0.0,Unincorporated,59.0,59.0,2.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,10.51,0.0,67,71.0,63.0,0.9976687691905392,-0.06824241336467088,0,0
8829124923fffff,2018-07-06,2018,7,4,18,1,Train,0.0,0.0,0.0,Unincorporated,59.0,59.0,2.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,5.0,3.0,3.0,8.5,0.0,77,92.0,68.0,-0.979084087682323,0.2034560130526333,0,0
8829124923fffff,2018-10-24,2018,10,2,15,1,Validate,0.0,0.0,0.0,Unincorporated,59.0,59.0,2.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,5.0,3.0,3.0,5.37,0.0,66,73.0,60.0,-0.816969893010442,-0.5766803221148672,0,0
8829124923fffff,2019-07-18,2019,7,3,16,1,Test,0.0,0.0,0.0,Unincorporated,59.0,59.0,2.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2.0,1.0,7.0,8.0,2.0,5.0,8.28,0.0,69,73.0,62.0,-0.9422609221188204,-0.3348796121709864,0,0
8829124923fffff,2019-10-04,2019,10,4,13,1,Test,0.0,0.0,0.0,Unincorporated,59.0,59.0,2.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2.0,1.0,7.0,8.0,2.0,5.0,6.04,0.0,64,75.0,56.0,-0.39840108984624156,-0.9172113015054529,0,0
8829124923fffff,2020-10-18,2020,10,6,14,1,Test,0.0,0.0,0.0,Unincorporated,59.0,59.0,2.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,4.0,7.0,8.0,6.04,0.0,68,74.0,63.0,-0.6310879443260528,-0.7757112907044198,0,0
8829124925fffff,2017-05-21,2017,5,6,17,1,Train,0.0,0.0,0.0,Unincorporated,49.4,49.4,2.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,2.0,3.0,7.61,0.0,68,74.0,61.0,-0.9976687691905393,-0.06824241336467046,0,0
8829124925fffff,2017-10-08,2017,10,6,12,1,Train,0.0,0.0,0.0,Unincorporated,49.4,49.4,2.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,2.0,3.0,7.38,0.0,69,78.0,61.0,-0.1361666490962464,-0.9906859460363308,0,0
8829124925fffff,2018-08-05,2018,8,6,11,1,Train,0.0,0.0,0.0,Unincorporated,49.4,49.4,2.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,7.0,2.0,8.0,6.93,0.0,73,79.0,68.0,0.1361666490962471,-0.9906859460363306,0,0
8829124927fffff,2014-01-04,2014,1,5,14,1,Train,0.0,0.0,0.0,Westlake Village,59.0,59.0,2.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.03,0.0,56,65.0,50.0,-0.6310879443260528,-0.7757112907044198,0,0
8829124927fffff,2014-05-31,2014,5,5,12,1,Train,0.0,0.0,0.0,Westlake Village,59.0,59.0,2.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.93,0.0,67,74.0,61.0,-0.1361666490962464,-0.9906859460363308,0,0
